0	-80  	     1	    -0	 -1.71	 0.301	    -0	     0	  2.13	-0.662	0.0584	     0	     0	    -0	 -2.41	  1.08	-0.152	 0.011	
10	-80  	     1	-0.0522	 -1.71	 0.296	 -0.02	 0.115	  2.13	-0.652	0.0549	-0.00548	 0.052	-0.188	 -2.41	  1.07	-0.143	0.00948	
20	-80  	     1	-0.103	 -1.71	 0.283	-0.0375	 0.227	  2.13	-0.622	0.0447	-0.00948	0.0978	 -0.37	 -2.41	  1.02	-0.117	0.00548	
30	-80  	     1	 -0.15	 -1.71	  0.26	-0.0506	 0.331	  2.13	-0.574	0.0292	-0.011	 0.132	-0.541	 -2.41	 0.938	-0.0761	-4.79e-10	
40	-80  	     1	-0.193	 -1.71	  0.23	-0.0575	 0.426	  2.13	-0.507	0.0101	-0.00948	  0.15	-0.696	 -2.41	  0.83	-0.0264	-0.00548	
50	-80  	     1	 -0.23	 -1.71	 0.193	-0.0575	 0.507	  2.13	-0.426	-0.0101	-0.00548	  0.15	 -0.83	 -2.41	 0.696	0.0264	-0.00948	
60	-80  	     1	 -0.26	 -1.71	  0.15	-0.0506	 0.574	  2.13	-0.331	-0.0292	9.57e-10	 0.132	-0.938	 -2.41	 0.541	0.0761	-0.011	
70	-80  	     1	-0.283	 -1.71	 0.103	-0.0375	 0.622	  2.13	-0.227	-0.0447	0.00548	0.0978	 -1.02	 -2.41	  0.37	 0.117	-0.00948	
80	-80  	     1	-0.296	 -1.71	0.0522	 -0.02	 0.652	  2.13	-0.115	-0.0549	0.00948	 0.052	 -1.07	 -2.41	 0.188	 0.143	-0.00548	
90	-80  	     1	-0.301	 -1.71	-1.31e-08	5.1e-09	 0.662	  2.13	2.9e-08	-0.0584	 0.011	-1.33e-08	 -1.08	 -2.41	-4.73e-08	 0.152	1.44e-09	
100	-80  	     1	-0.296	 -1.71	-0.0522	  0.02	 0.652	  2.13	 0.115	-0.0549	0.00948	-0.052	 -1.07	 -2.41	-0.188	 0.143	0.00548	
110	-80  	     1	-0.283	 -1.71	-0.103	0.0375	 0.622	  2.13	 0.227	-0.0447	0.00548	-0.0978	 -1.02	 -2.41	 -0.37	 0.117	0.00948	
120	-80  	     1	 -0.26	 -1.71	 -0.15	0.0506	 0.574	  2.13	 0.331	-0.0292	-1.91e-09	-0.132	-0.938	 -2.41	-0.541	0.0761	 0.011	
130	-80  	     1	 -0.23	 -1.71	-0.193	0.0575	 0.507	  2.13	 0.426	-0.0101	-0.00548	 -0.15	 -0.83	 -2.41	-0.696	0.0264	0.00948	
140	-80  	     1	-0.193	 -1.71	 -0.23	0.0575	 0.426	  2.13	 0.507	0.0101	-0.00948	 -0.15	-0.696	 -2.41	 -0.83	-0.0264	0.00548	
